QUOTES,LABELS
We become what we think about,1
"People who are crazy enough to think they can change the world, are the ones who do",1
Optimism is the one quality more associated with success and happiness than any other,1
Happiness is not something readymade. It comes from your own actions,1
All our dreams can come true if we have the courage to pursue them,1
"Success is not final, failure is not fatal , it is the courage to continue that counts",1
Believe you can and you are halfway there.,1
"I cannot change the direction of the wind, but I can adjust my sails to always reach my destination",1
Move out of your comfort zone. You can only grow if you are willing to feel awkward and uncomfortable when you try something new.,1
"It is our attitude at the beginning of a difficult task which, more than anything else, will affect its successful outcome",1
You are never too old to set another goal or to dream a new dream,1
We must be willing to let go of the life we planned so as to have the life that is waiting for us,1
Everything you have ever wanted is on the other side of fear.,1
You get what you give,1
Your life only gets better when you get better,1
"Happiness is not by chance, but by choice",1
Be the change that you wish to see in the world,1
"If I cannot do great things, I can do small things in a great way",1
We generate fears while we sit. We overcome them by action,1
Today's  accomplishments were yesterday's impossibilities,1
I can but I would not,0
You can be replaced,0
You really can (not),0
It could always get worse,0
It probably will get worse,0
"You are born, you work, you die",0
It is what it is. And it's not good,0
Progress is Just made you irrelevant,0
It's never too late to go back to bed,0
The sooner every party breaks up the better,0
There's someone for everyone except for you,0
"Accept that you're just a product, not a gift",0
"There's only one you, and that's a good thing",0
Be afraid to depend on others when you need to,0
There are several reasons why I am going to hell,0
Just wanted to tell you I'm not thinking about you,0
Nobody can stop me but only because I have not started yet,0
"Life is only logical, and to think it's a gift is depressing",0
Please take your feelings and tuck them back inside your heart,0
"Never Give Up , Never stop trying to exceed your limits. We need the entertainment",0
